"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Dion Lewis","NYG","SF","RB","$5300","12.1","-1.4","1%","15456916"
"Chris Hogan","NYJ","IND","WR","$3700","8.9","-1.4","1%","15457264"
"Nick Chubb","CLE","WAS","RB","$6900","15.1","-1.5","7%","15456882"
"T.J. Hockenson","DET","ARI","TE","$5300","12.0","-1.5","3%","15457478"
"Derek Carr","LV","NE","QB","$5400","15.2","-1.5","1%","15456825"
"Joshua Kelley","LAC","CAR","RB","$5000","11.4","-1.5","7%","15456928"
"Dwayne Haskins Jr.","WAS","CLE","QB","$5200","14.7","-1.5","1%","15456829"
"Buccaneers ","TB","DEN","DST","$3700","7.8","-1.5","7%","15457696"
"WAS Football Team ","WAS","CLE","DST","$3000","6.3","-1.6","3%","15457703"
"Jerick McKinnon","SF","NYG","RB","$4900","11.0","-1.7","7%","15456936"
"Dan Arnold","ARI","DET","TE","$2800","6.7","-1.8","1%","15457548"
"David Montgomery","CHI","ATL","RB","$5700","12.5","-1.8","3%","15456908"
"Golden Tate","NYG","SF","WR","$4500","10.2","-1.8","3%","15457204"
"Dontrelle Inman","WAS","CLE","WR","$3100","7.4","-1.8","1%","15457306"
"Raiders ","LV","NE","DST","$2300","4.7","-1.9","0%","15457714"
"Vikings ","MIN","TEN","DST","$2500","5.1","-1.9","1%","15457712"
"Noah Fant","DEN","TB","TE","$5400","11.7","-2.0","3%","15457476"
"Robert Woods","LA","BUF","WR","$6100","13.0","-2.0","3%","15457140"
"Rams ","LA","BUF","DST","$3000","6.0","-2.0","3%","15457704"
"Jerry Jeudy","DEN","TB","WR","$5000","10.8","-2.1","1%","15457188"
"Antonio Gibson","WAS","CLE","RB","$4700","10.2","-2.1","3%","15456942"
"Patriots ","NE","LV","DST","$3200","6.3","-2.1","3%","15457701"
"Bengals ","CIN","PHI","DST","$2600","5.0","-2.2","3%","15457711"
"Tyler Higbee","LA","BUF","TE","$5900","12.4","-2.3","3%","15457472"
"Sam Darnold","NYJ","IND","QB","$5000","13.3","-2.3","1%","15456833"
"Brandon Aiyuk","SF","NYG","WR","$4100","8.9","-2.3","1%","15457230"
"Steven Sims Jr.","WAS","CLE","WR","$4000","8.7","-2.3","1%","15457238"
"Bryan Edwards","LV","NE","WR","$3700","7.9","-2.4","1%","15457262"
"David Moore","SEA","DAL","WR","$3600","7.8","-2.4","1%","15457270"
"O.J. Howard","TB","DEN","TE","$3500","7.6","-2.4","1%","15457512"
"Anthony Miller","CHI","ATL","WR","$4900","10.2","-2.5","1%","15457198"
"D'Andre Swift","DET","ARI","RB","$5000","10.4","-2.5","1%","15456924"
"Brandin Cooks","HOU","PIT","WR","$5200","10.8","-2.5","3%","15457182"
"Hunter Renfrow","LV","NE","WR","$4300","9.1","-2.5","1%","15457214"
"Anthony Firkser","TEN","MIN","TE","$2500","5.5","-2.5","1%","15457640"
"Irv Smith Jr.","MIN","TEN","TE","$2800","5.9","-2.6","1%","15457552"
"Josh Malone","NYJ","IND","WR","$3000","6.4","-2.6","0%","15457356"
"Kendrick Bourne","SF","NYG","WR","$5000","10.3","-2.6","1%","15457190"
"Bears ","CHI","ATL","DST","$2900","5.1","-2.7","3%","15457705"
"Jimmy Graham","CHI","ATL","TE","$3400","7.0","-2.8","1%","15457520"
"Dalton Schultz","DAL","SEA","TE","$4500","9.1","-2.9","3%","15457492"
"Eric Ebron","PIT","HOU","TE","$4300","8.6","-2.9","1%","15457496"
"Broncos ","DEN","TB","DST","$3100","5.2","-2.9","1%","15457702"
"Lions ","DET","ARI","DST","$2400","3.9","-2.9","1%","15457713"
"Christian Blake","ATL","CHI","WR","$3000","5.9","-3.0","0%","15457448"
"Cole Beasley","BUF","LA","WR","$4500","8.9","-3.0","1%","15457208"
"Cardinals ","ARI","DET","DST","$3300","5.5","-3.0","3%","15457700"
"Bills ","BUF","LA","DST","$3400","5.8","-3.0","1%","15457699"
"Scotty Miller","TB","DEN","WR","$4000","7.8","-3.1","1%","15457242"
"Greg Ward","PHI","CIN","WR","$3400","6.6","-3.2","1%","15457286"
"Danny Amendola","DET","ARI","WR","$4600","8.7","-3.4","1%","15457202"
"Trent Taylor","SF","NYG","WR","$3400","6.3","-3.4","1%","15457288"
"Seahawks ","SEA","DAL","DST","$2900","4.4","-3.4","3%","15457706"
