Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2020;5600;Mickens, Jaydon;WR;tam;h;car;0;3000
2;2020;5475;Higgins, Rashard;WR;cle;h;cin;0;3900
2;2020;5816;Grayson, Cyril;WR;tam;h;car;0;3000
2;2020;3978;Roberts, Andre;WR;buf;a;mia;0;3000
2;2020;5812;Sims, Cam;WR;was;a;ari;0;3000
2;2020;5790;Blake, Christian;WR;atl;a;dal;0;3000
2;2020;3760;Slater, Matthew;WR;nwe;a;sea;0;3000
2;2020;5654;Carter, DeAndre;WR;hou;h;bal;0;3000
2;2020;5520;Raymond, Kalif;WR;ten;h;jac;0;3000
2;2020;5732;Arcega-Whiteside, JJ;WR;phi;h;lar;0;3500
2;2020;5678;Ratley, Damion;WR;nyg;a;chi;0;3000
2;2020;5665;McCloud, Ray-Ray;WR;pit;h;den;0;3000
2;2020;5802;Webster, Nsimba;WR;lar;a;phi;0;3000
2;2020;5860;Johnson, Collin;WR;jac;a;ten;0;3000
2;2020;5638;Pettis, Dante;WR;nyg;a;chi;0;3000
2;2020;5419;Waller, Darren;TE;lvr;h;nor;31.3;5400
2;2020;4719;Gesicki, Mike;TE;mia;h;buf;30;4000
2;2020;4680;Higbee, Tyler;TE;lar;a;phi;28.4;4700
2;2020;4706;Smith, Jonnu;TE;ten;h;jac;24.4;4200
2;2020;4573;Reed, Jordan;TE;sfo;a;nyj;24;2600
2;2020;4582;Kelce, Travis;TE;kan;a;lac;24;7000
2;2020;4742;Schultz, Dalton;TE;dal;h;atl;22.8;3700
2;2020;4736;Alie-Cox, Mo;TE;ind;h;min;19.1;3000
2;2020;4720;Hurst, Hayden;TE;atl;a;dal;18.2;4600
2;2020;4748;Fant, Noah;TE;den;a;pit;17.7;4400
2;2020;4675;Henry, Hunter;TE;lac;h;kan;14.3;5100
2;2020;4656;Uzomah, C.J.;TE;cin;a;cle;14.2;3800
2;2020;4568;Eifert, Tyler;TE;jac;a;ten;12.6;3000
2;2020;4729;Akins, Jordan;TE;hou;h;bal;12.5;3300
2;2020;4701;Engram, Evan;TE;nyg;a;chi;12.5;5300
2;2020;4756;Sample, Drew;TE;cin;a;cle;11.5;2500
2;2020;4744;Tonyan, Robert;TE;gnb;h;det;10.5;2500
2;2020;4609;Fells, Darren;TE;hou;h;bal;10.3;3200
2;2020;4749;Hockenson, T.J.;TE;det;a;gnb;10.2;5200
2;2020;4437;Cook, Jared;TE;nor;a;lvr;9.3;5300
2;2020;4569;Ertz, Zach;TE;phi;h;lar;9.2;5600
2;2020;4738;Firkser, Anthony;TE;ten;h;jac;8.5;2500
2;2020;4664;O'Shaughnessy, James;TE;jac;a;ten;8;2700
2;2020;4601;Ebron, Eric;TE;pit;h;den;7.3;4300
2;2020;4783;Gilliam, Reggie;TE;buf;a;mia;7.1;3400
2;2020;4725;Goedert, Dallas;TE;phi;h;lar;7;5000
2;2020;1463;Thomas, Logan;TE;was;a;ari;6.6;3600
2;2020;4666;Bell, Blake;TE;dal;h;atl;5.4;3000
2;2020;4741;Arnold, Dan;TE;ari;h;was;4.6;3300
2;2020;4677;Hooper, Austin;TE;cle;h;cin;4.2;4800
2;2020;4760;Moreau, Foster;TE;lvr;h;nor;4.1;2500
2;2020;4751;Izzo, Ryan;TE;nwe;a;sea;3.9;3000
2;2020;4721;Andrews, Mark;TE;bal;a;hou;3.9;6300
2;2020;4750;Knox, Dawson;TE;buf;a;mia;3.8;3700
2;2020;4492;Graham, Jimmy;TE;chi;h;nyg;2.8;3800
2;2020;4784;Trautman, Adam;TE;nor;a;lvr;2.7;2500
2;2020;4586;Hill, Josh;TE;nor;a;lvr;2.6;2500
2;2020;4780;Bryant, Harrison;TE;cle;h;cin;2.4;2500
2;2020;4778;Kmet, Cole;TE;chi;h;nyg;2.2;2800
2;2020;4700;Howard, O.J.;TE;tam;h;car;2.1;3900
2;2020;4660;Boyle, Nick;TE;bal;a;hou;2.1;3100
2;2020;4770;Smith, Kaden;TE;nyg;a;chi;1.9;3200
2;2020;4727;Dissly, Will;TE;sea;h;nwe;1.9;2900
2;2020;4697;Manhertz, Chris;TE;car;a;tam;1.8;2700
2;2020;4734;Herndon, Chris;TE;nyj;h;sfo;1.5;3400
2;2020;4745;Dwelley, Ross;TE;sfo;a;nyj;1.5;2500
2;2020;4324;Lewis, Marcedes;TE;gnb;h;det;1.4;2700
2;2020;4709;Shaheen, Adam;TE;mia;h;buf;1.4;2600
2;2020;4757;Smith Jr., Irv;TE;min;a;ind;1.3;2900
2;2020;4572;McDonald, Vance;TE;pit;h;den;1.3;3000
2;2020;4262;Witten, Jason;TE;lvr;h;nor;1.3;2800
2;2020;4782;Baugh, Marcus;TE;was;a;ari;1.2;2500
2;2020;4714;Sprinkle, Jeremy;TE;was;a;ari;0;3200
2;2020;4705;Everett, Gerald;TE;lar;a;phi;0;2800
2;2020;4629;Rodgers, Richard;TE;phi;h;lar;0;2500
2;2020;4722;Butt, Jake;TE;den;a;pit;0;2500
2;2020;4537;Rudolph, Kyle;TE;min;a;ind;0;3500
2;2020;4765;Graham, Jaeden;TE;atl;a;dal;0;2500
2;2020;4653;James, Jesse;TE;det;a;gnb;0;2700
2;2020;4761;Beck, Andrew;TE;den;a;pit;0;2500
2;2020;4759;Winchester, James;TE;kan;a;lac;0;2500
2;2020;4711;Carter, Cethan;TE;cin;a;cle;0;2500
2;2020;4368;Olsen, Greg;TE;sea;h;nwe;0;3900
2;2020;4730;Thomas, Ian;TE;car;a;tam;0;3200
2;2020;4599;Carrier, Derek;TE;lvr;h;nor;0;2500
2;2020;4642;Harris, Demetrius;TE;chi;h;nyg;0;2500
2;2020;4747;Mundt, Johnny;TE;lar;a;phi;0;2500
2;2020;4542;Green, Virgil;TE;lac;h;kan;0;2500
2;2020;4763;Holtz, J.P.;TE;chi;h;nyg;0;2500
2;2020;4578;Willson, Luke;TE;sea;h;nwe;0;2500
2;2020;4779;Asiasi, Devin;TE;nwe;a;sea;0;3100
2;2020;4592;Griffin, Ryan;TE;nyj;h;sfo;0;2900
2;2020;4669;Pruitt, MyCole;TE;ten;h;jac;0;2500
2;2020;4652;Kroft, Tyler;TE;buf;a;mia;0;2500
2;2020;4708;Daniels, Darrell;TE;ari;h;was;0;2800
2;2020;4679;Anderson, Stephen;TE;lac;h;kan;0;2500
2;2020;4577;Toilolo, Levine;TE;nyg;a;chi;0;2800
2;2020;4688;Vannett, Nick;TE;den;a;pit;0;2600
2;2020;4532;Stocker, Luke;TE;atl;a;dal;0;2500
2;2020;4494;Gronkowski, Rob;TE;tam;h;car;0;4100
