PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,FPTS,FPTS/$,FLOOR,CEIL
982844,Kaden Smith,2600.00,WAS,TE,NYG,72653,2.66,1.02,0.1,6.5
35717,Keith Smith,4000.00,MIN,RB,ATL,72655,1.31,0.33,-0.1,5.6
16577,Kenny Stills,3400.00,TEN,WR,HOU,72652,5.78,1.7,1.8,10.8
1844803,Ke'Shawn Vaughn,4000.00,GBP,RB,TBB,72651,4.43,1.11,0.4,10.1
21598,Kevin White,200.00,LAR,WR,SFO,72657,0.12,0.6,-0.1,3.9
12162,Larry Fitzgerald,3900.00,DAL,WR,ARI,72658,9.67,2.48,4.3,16.3
36941,Leonard Fournette,5000.00,GBP,RB,TBB,72651,3.16,0.63,-0.1,8.0
328097,Lamar Jackson,7700.00,PHI,QB,BAL,72663,25.25,3.28,14.0,37.2
11671,LeSean McCoy,4000.00,GBP,RB,TBB,72651,3.70,0.93,0.6,9.1
1844427,La'Mical Perine,4000.00,MIA,RB,NYJ,72887,5.87,1.47,1.1,12.3
1844522,Laviska Shenault,5200.00,DET,WR,JAC,72659,11.89,2.29,4.7,18.9
13123,Lee Smith,2500.00,KCC,TE,BUF,72662,1.87,0.75,-0.1,5.7
13126,Luke Stocker,2500.00,MIN,TE,ATL,72655,0.52,0.21,-0.1,3.6
18363,Logan Thomas,3300.00,NYG,TE,WAS,72653,7.23,2.19,2.9,12.0
16631,Levine Toilolo,2500.00,WAS,TE,NYG,72653,0.29,0.12,-0.1,3.4
328096,Mark Andrews,6500.00,PHI,TE,BAL,72663,14.09,2.17,7.5,21.2
328883,Marcus Baugh,2500.00,NYG,TE,WAS,72653,0.47,0.19,-0.1,3.6
328302,Mike Boone,4000.00,ATL,RB,MIN,72655,5.63,1.41,0.7,12.4
981968,Miles Boykin,3800.00,PHI,WR,BAL,72663,6.11,1.61,1.6,11.4
37060,Matt Breida,4100.00,NYJ,RB,MIA,72887,5.59,1.36,0.9,11.7
21789,Malcolm Brown,4600.00,SFO,RB,LAR,72657,8.01,1.74,1.3,15.7
972489,Marquise Brown,6500.00,PHI,WR,BAL,72663,14.48,2.23,7.2,22.6
21794,Mike Davis,7000.00,CHI,RB,CAR,72656,21.93,3.13,10.7,33.6
18287,Mike Evans,6900.00,GBP,WR,TBB,72651,15.56,2.26,8.1,24.0
328582,Michael Gallup,5000.00,ARI,WR,DAL,72658,13.39,2.68,7.0,20.5
982233,Myles Gaskin,5400.00,NYJ,RB,MIA,72887,17.04,3.16,6.8,27.6
328364,Mike Gesicki,5500.00,NYJ,TE,MIA,72887,9.28,1.69,4.0,15.1
35624,Marvin Hall,3000.00,JAC,WR,DET,72659,0.27,0.09,-0.1,4.0
982694,Mecole Hardman,4400.00,BUF,WR,KCC,72662,10.72,2.44,4.3,17.7
